Angle,Area,Density,Velocity,Force,Cd,,,,,,,,,,,,,,,,,,,,,,,
90,0.024153313,1.2,210,291.4126,0.455975782,,,,,,,,,,,,,,,,,,,,,,,
90,0.024153313,1.2,240,379.66495,0.454831005,,,,,,,,,,,,,,,,,,,,,,,
90,0.024153313,1.2,270,479.93774,0.454286064,,,,,,,,,,,,,,,,,,,,,,,
90,0.024153313,1.2,300,591.64405,0.453617742,,,,,,,,,,,,,,,,,,,,,,,
80,0.023990468,0.6,30,3.1961845,0.493434324,,,,,,,,,,,,,,,,,,,,,,,
80,0.023990468,0.6,60,12.37261,0.477528007,,,,,,,,,,,,,,,,,,,,,,,
80,0.023990468,0.6,90,27.415174,0.470268634,,,,,,,,,,,,,,,,,,,,,,,
80,0.023990468,0.6,120,48.270357,0.465755555,,,,,,,,,,,,,,,,,,,,,,,
80,0.023990468,0.6,150,74.965412,0.462933318,,,,,,,,,,,,,,,,,,,,,,,
80,0.023990468,0.6,180,107.41062,0.460619414,,,,,,,,,,,,,,,,,,,,,,,
80,0.023990468,0.6,210,145.66972,0.45895565,,,,,,,,,,,,,,,,,,,,,,,
80,0.023990468,0.6,240,189.7744,0.457778265,,,,,,,,,,,,,,,,,,,,,,,
80,0.023990468,0.6,270,239.64214,0.456746982,,,,,,,,,,,,,,,,,,,,,,,
80,0.023990468,0.6,300,295.04053,0.455490365,,,,,,,,,,,,,,,,,,,,,,,
80,0.023990468,0.7,30,3.6999151,0.489601213,,,,,,,,,,,,,,,,,,,,,,,
80,0.023990468,0.7,60,14.348133,0.474663818,,,,,,,,,,,,,,,,,,,,,,,
80,0.023990468,0.7,90,31.829178,0.467986839,,,,,,,,,,,,,,,,,,,,,,,
80,0.023990468,0.7,120,56.117435,0.464118153,,,,,,,,,,,,,,,,,,,,,,,
80,0.023990468,0.7,150,87.070463,0.460873324,,,,,,,,,,,,,,,,,,,,,,,
80,0.023990468,0.7,180,124.80068,0.458738486,,,,,,,,,,,,,,,,,,,,,,,
80,0.023990468,0.7,210,169.40483,0.457488767,,,,,,,,,,,,,,,,,,,,,,,
80,0.023990468,0.7,240,220.69891,0.456321509,,,,,,,,,,,,,,,,,,,,,,,
80,0.023990468,0.7,270,278.46924,0.454928282,,,,,,,,,,,,,,,,,,,,,,,
80,0.023990468,0.7,300,342.88366,0.453730021,,,,,,,,,,,,,,,,,,,,,,,
80,0.023990468,0.8,30,4.2039622,0.486763025,,,,,,,,,,,,,,,,,,,,,,,
80,0.023990468,0.8,60,16.282022,0.471310511,,,,,,,,,,,,,,,,,,,,,,,
80,0.023990468,0.8,90,36.200473,0.465726033,,,,,,,,,,,,,,,,,,,,,,,
80,0.023990468,0.8,120,63.901614,0.462434922,,,,,,,,,,,,,,,,,,,,,,,
80,0.023990468,0.8,150,99.14872,0.459204232,,,,,,,,,,,,,,,,,,,,,,,
80,0.023990468,0.8,180,142.25579,0.45753701,,,,,,,,,,,,,,,,,,,,,,,
80,0.023990468,0.8,210,193.11097,0.456320148,,,,,,,,,,,,,,,,,,,,,,,
80,0.023990468,0.8,240,251.35667,0.454746347,,,,,,,,,,,,,,,,,,,,,,,
80,0.023990468,0.8,270,317.19921,0.453425413,,,,,,,,,,,,,,,,,,,,,,,
80,0.023990468,0.8,300,390.66712,0.452340673,,,,,,,,,,,,,,,,,,,,,,,
80,0.023990468,0.9,30,4.7051167,0.484257835,,,,,,,,,,,,,,,,,,,,,,,
80,0.023990468,0.9,60,18.243448,0.46941092,,,,,,,,,,,,,,,,,,,,,,,
80,0.023990468,0.9,90,40.59193,0.464198196,,,,,,,,,,,,,,,,,,,,,,,
80,0.023990468,0.9,120,71.65553,0.460931073,,,,,,,,,,,,,,,,,,,,,,,
80,0.023990468,0.9,150,111.2683,0.458076171,,,,,,,,,,,,,,,,,,,,,,,
80,0.023990468,0.9,180,159.76471,0.456756368,,,,,,,,,,,,,,,,,,,,,,,
80,0.023990468,0.9,210,216.58636,0.454926545,,,,,,,,,,,,,,,,,,,,,,,
80,0.023990468,0.9,240,281.96066,0.453434751,,,,,,,,,,,,,,,,,,,,,,,
80,0.023990468,0.9,270,355.8879,0.452204063,,,,,,,,,,,,,,,,,,,,,,,
80,0.023990468,0.9,300,438.40469,0.451212838,,,,,,,,,,,,,,,,,,,,,,,
80,0.023990468,1,30,5.2031116,0.481961011,,,,,,,,,,,,,,,,,,,,,,,
80,0.023990468,1,60,21.793814,0.50468688,,,,,,,,,,,,,,,,,,,,,,,
80,0.023990468,1,90,44.967902,0.462816552,,,,,,,,,,,,,,,,,,,,,,,
80,0.023990468,1,120,79.414784,0.459758897,,,,,,,,,,,,,,,,,,,,,,,
80,0.023990468,1,150,123.41711,0.457282025,,,,,,,,,,,,,,,,,,,,,,,
80,0.023990468,1,180,177.02474,0.455491451,,,,,,,,,,,,,,,,,,,,,,,
80,0.023990468,1,210,240.02039,0.453733477,,,,,,,,,,,,,,,,,,,,,,,
80,0.023990468,1,240,312.53534,0.452343053,,,,,,,,,,,,,,,,,,,,,,,
80,0.023990468,1,270,394.56376,0.451212311,,,,,,,,,,,,,,,,,,,,,,,
80,0.023990468,1,300,486.17386,0.450339841,,,,,,,,,,,,,,,,,,,,,,,
80,0.023990468,1.1,30,5.701199,0.480089581,,,,,,,,,,,,,,,,,,,,,,,
80,0.023990468,1.1,60,22.166683,0.466655942,,,,,,,,,,,,,,,,,,,,,,,
80,0.023990468,1.1,90,49.34393,0.46168664,,,,,,,,,,,,,,,,,,,,,,,
80,0.023990468,1.1,120,87.152239,0.458685115,,,,,,,,,,,,,,,,,,,,,,,
80,0.023990468,1.1,150,135.53869,0.456540548,,,,,,,,,,,,,,,,,,,,,,,
80,0.023990468,1.1,180,194.25645,0.454390275,,,,,,,,,,,,,,,,,,,,,,,
80,0.023990468,1.1,210,263.43368,0.452721687,,,,,,,,,,,,,,,,,,,,,,,
80,0.023990468,1.1,240,343.08311,0.451414438,,,,,,,,,,,,,,,,,,,,,,,
80,0.023990468,1.1,270,433.25072,0.450412418,,,,,,,,,,,,,,,,,,,,,,,
80,0.023990468,1.1,300,533.95499,0.449635643,,,,,,,,,,,,,,,,,,,,,,,
80,0.023990468,1.2,30,6.2016111,0.478709502,,,,,,,,,,,,,,,,,,,,,,,
80,0.023990468,1.2,60,24.130006,0.465655738,,,,,,,,,,,,,,,,,,,,,,,
80,0.023990468,1.2,90,53.736404,0.460886101,,,,,,,,,,,,,,,,,,,,,,,
80,0.023990468,1.2,120,94.899362,0.45783694,,,,,,,,,,,,,,,,,,,,,,,
80,0.023990468,1.2,150,147.52098,0.455492573,,,,,,,,,,,,,,,,,,,,,,,
80,0.023990468,1.2,180,211.46738,0.453428072,,,,,,,,,,,,,,,,,,,,,,,
80,0.023990468,1.2,210,286.82884,0.451849969,,,,,,,,,,,,,,,,,,,,,,,
80,0.023990468,1.2,240,373.6469,0.450659914,,,,,,,,,,,,,,,,,,,,,,,
80,0.023990468,1.2,270,471.96132,0.449768368,,,,,,,,,,,,,,,,,,,,,,,
80,0.023990468,1.2,300,581.76142,0.44906834,,,,,,,,,,,,,,,,,,,,,,,
70,0.023740844,0.6,30,3.0842487,0.481159951,,,,,,,,,,,,,,,,,,,,,,,
70,0.023740844,0.6,60,12.000122,0.468021443,,,,,,,,,,,,,,,,,,,,,,,
70,0.023740844,0.6,90,26.792577,0.464421225,,,,,,,,,,,,,,,,,,,,,,,
70,0.023740844,0.6,120,47.247306,0.460677657,,,,,,,,,,,,,,,,,,,,,,,
70,0.023740844,0.6,150,73.178307,0.456648916,,,,,,,,,,,,,,,,,,,,,,,
70,0.023740844,0.6,180,104.86971,0.454451612,,,,,,,,,,,,,,,,,,,,,,,
70,0.023740844,0.6,210,142.39026,0.453340255,,,,,,,,,,,,,,,,,,,,,,,
70,0.023740844,0.6,240,185.41411,0.451963006,,,,,,,,,,,,,,,,,,,,,,,
70,0.023740844,0.6,270,234.1815,0.451032302,,,,,,,,,,,,,,,,,,,,,,,
70,0.023740844,0.6,300,288.36784,0.449869869,,,,,,,,,,,,,,,,,,,,,,,
70,0.023740844,0.7,30,3.5600269,0.476043425,,,,,,,,,,,,,,,,,,,,,,,
70,0.023740844,0.7,60,13.946499,0.466228159,,,,,,,,,,,,,,,,,,,,,,,
70,0.023740844,0.7,90,31.140064,0.462668874,,,,,,,,,,,,,,,,,,,,,,,
70,0.023740844,0.7,120,54.854754,0.458445359,,,,,,,,,,,,,,,,,,,,,,,
70,0.023740844,0.7,150,85.051527,0.454920386,,,,,,,,,,,,,,,,,,,,,,,
70,0.023740844,0.7,180,121.99458,0.45313888,,,,,,,,,,,,,,,,,,,,,,,
70,0.023740844,0.7,210,165.56424,0.451818232,,,,,,,,,,,,,,,,,,,,,,,
70,0.023740844,0.7,240,215.67631,0.450625499,,,,,,,,,,,,,,,,,,,,,,,
70,0.023740844,0.7,270,272.18458,0.449336596,,,,,,,,,,,,,,,,,,,,,,,
70,0.023740844,0.7,300,335.1874,0.448209417,,,,,,,,,,,,,,,,,,,,,,,
70,0.023740844,0.8,30,4.0424966,0.472988965,,,,,,,,,,,,,,,,,,,,,,,
70,0.023740844,0.8,60,15.706629,0.459435277,,,,,,,,,,,,,,,,,,,,,,,
70,0.023740844,0.8,90,34.96472,0.454557565,,,,,,,,,,,,,,,,,,,,,,,
70,0.023740844,0.8,120,61.628707,0.450675987,,,,,,,,,,,,,,,,,,,,,,,
70,0.023740844,0.8,150,96.93007,0.453648901,,,,,,,,,,,,,,,,,,,,,,,
70,0.023740844,0.8,180,139.13519,0.452205489,,,,,,,,,,,,,,,,,,,,,,,
