time (s),force(s)
0,0
0.102,-0.825
0.306,47.46
0.407,89.577
0.509,299.689
0.611,552.821
0.714,821.473
0.816,1011.273
0.919,1175.929
1.021,1146.424
1.123,1047.654
1.331,931.283
1.432,849.682
1.535,787.96
1.637,750.008
1.74,727.496
1.842,704.473
1.944,678.936
2.046,665.696
2.249,672.061
2.351,691.744
2.453,714.334
2.556,728.164
2.658,729.067
2.761,642.516
2.863,534.16
2.965,410.717
3.067,281.891
3.273,146.584
3.382,74.019
3.484,8.408
3.584,0
