# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (kg),Motor mass (kg),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (mm),CG location (mm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (m),Reference area (m²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
0.01,0.01,1.962,196.745,1.962,196.745,0,0,0,0,0,0,28.61,-80.6,9.792,46.895,0,0,0,2.273,0.723,0.387,0.002,NaN,987.793,NaN,0.008,3.328e5,469.423,0.009,0.621,0.37,0.5,0.001,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.519e-4,0.077,0.005,90,0,2.102,15,1013.249,340.389,0.01,0.04
0.02,0.04,4.18,221.775,4.18,221.775,0,0,0,0,0,0,28.61,-80.6,9.792,26.811,0,0,0,2.272,0.723,0.387,0.002,NaN,987.665,NaN,0.014,5.414e5,526.156,0.042,0.571,0.675,0.45,0.001,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.351e-4,0.077,0.005,90,0,2.112,15,1013.245,340.389,0.01,0.046
0.03,0.092,6.051,187.186,6.051,187.186,0,0,0,0,0,0,28.61,-80.6,9.792,19.331,0,0,0,2.271,0.722,0.387,0.002,NaN,987.559,NaN,0.019,7.413e5,447.481,0.082,0.542,0.701,0.421,0.001,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.748e-4,0.077,0.005,90,0,2.123,14.999,1013.239,340.389,0.01,0.05
0.04,0.161,7.874,182.262,7.874,182.262,0,0,0,0,0,0,28.61,-80.6,9.792,15.161,0,0,0,2.271,0.721,0.387,0.002,NaN,987.473,NaN,0.024,9.43e5,436.237,0.128,0.522,0.674,0.401,0.001,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,0.077,0.005,90,0,2.133,14.999,1013.231,340.388,0.01,0.055
0.05,0.249,9.689,181.548,9.689,181.548,0,0,0,0,0,0,28.61,-80.6,9.792,12.477,0,0,0,2.27,0.721,0.387,0.002,NaN,987.387,NaN,0.029,1.147e6,434.561,0.178,0.507,0.633,0.386,0.001,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,0.077,0.005,90,0,2.144,14.998,1013.221,340.388,0.01,0.058
0.06,0.355,11.497,180.831,11.497,180.831,0,0,0,0,0,0,28.61,-80.6,9.792,10.518,0,0,0,2.27,0.72,0.387,0.002,NaN,987.301,NaN,0.034,1.352e6,432.885,0.232,0.495,0.595,0.374,0.001,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,0.077,0.005,90,0,2.135,14.998,1013.208,340.388,0.01,0.061
0.069,0.462,13.064,180.158,13.064,180.158,0,0,0,0,0,0,28.61,-80.6,9.792,9.245,0,0,0,2.269,0.72,0.387,0.002,NaN,987.226,NaN,0.039,1.53e6,431.318,0.284,0.487,0.569,0.365,0.001,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,0.077,0.005,90,0,2.126,14.997,1013.196,340.387,0.009,0.064
0.076,0.567,14.439,179.566,14.439,179.566,0,0,0,0,0,0,28.61,-80.6,9.792,8.35,0,0,0,2.269,0.719,0.387,0.002,NaN,987.16,NaN,0.043,1.687e6,429.947,0.334,0.48,0.55,0.358,0.001,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,0.077,0.005,90,0,2.119,14.996,1013.183,340.387,0.008,0.07
0.083,0.671,15.679,179.038,15.679,179.038,0,0,0,0,0,0,28.61,-80.6,9.792,7.674,0,0,0,2.268,0.719,0.386,0.002,NaN,987.1,NaN,0.046,1.829e6,428.725,0.382,0.475,0.535,0.353,0.001,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,0.077,0.005,90,0,2.113,14.996,1013.171,340.386,0.007,0.075
0.09,0.775,16.817,178.555,16.817,178.555,0,0,0,0,0,0,28.61,-80.6,9.792,7.14,0,0,0,2.268,0.719,0.386,0.002,NaN,987.045,NaN,0.05,1.959e6,427.61,0.429,0.47,0.524,0.349,0.001,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,0.077,0.005,90,0,2.107,14.995,1013.159,340.386,0.006,0.08
0.096,0.878,17.876,178.106,17.876,178.106,0,0,0,0,0,0,28.61,-80.6,9.792,6.704,0,0,0,2.268,0.718,0.386,0.002,NaN,986.994,NaN,0.053,2.081e6,426.578,0.475,0.466,0.514,0.345,0.001,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,0.077,0.005,90,0,2.101,14.994,1013.147,340.385,0.006,0.086
0.101,0.981,18.87,177.684,18.87,177.684,0,0,0,0,0,0,28.61,-80.6,9.792,6.336,0,0,0,2.267,0.718,0.386,0.002,NaN,986.945,NaN,0.056,2.195e6,425.61,0.521,0.463,0.506,0.341,0.001,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,0.077,0.005,90,0,2.095,14.994,1013.135,340.385,0.006,0.092
0.106,1.083,19.81,177.286,19.81,177.286,0,0,0,0,0,0,28.61,-80.6,9.792,6.019,0,0,0,2.267,0.718,0.386,0.002,NaN,986.9,NaN,0.059,2.303e6,424.697,0.565,0.46,0.5,0.338,0.001,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.003,0.077,0.005,90,0,2.089,14.993,1013.123,340.385,0.005,0.106
0.114,1.246,21.215,176.801,21.215,176.802,-1.613e-5,0,1.613e-5,-180,0.004,0.522,28.61,-80.6,9.792,5.585,0,0.147,-4.476e-5,2.267,0.717,0.386,0.002,1096.169,986.831,1.42,0.063,2.464e6,423.587,0.635,0.456,0.49,0.334,0.001,0.121,0.912,1.294,-4.717e-4,0,0,0,0,2.528e-5,0.003,0.077,0.005,89.999,-0.001,2.079,14.992,1013.104,340.384,0.008,0.112
0.126,1.512,23.315,176.07,23.315,176.071,-1.024e-4,0,1.024e-4,-180,0.01,0.54,28.61,-80.6,9.792,5.029,0,0.388,-5.335e-5,2.266,0.717,0.386,0.002,1101.817,986.728,1.495,0.069,2.705e6,421.922,0.748,0.45,0.479,0.328,0.001,0.121,0.796,1.191,-1.727e-4,0,0,0,0,1.465e-4,0.003,0.077,0.005,89.996,-0.001,2.064,14.99,1013.073,340.383,0.012,0.116
0.144,1.957,26.445,174.965,26.445,174.966,-3.759e-4,0,3.759e-4,-180,0.02,0.545,28.61,-80.6,9.792,4.356,0,0.795,1.536e-4,2.265,0.716,0.386,0.002,1109.176,986.573,1.592,0.078,3.065e6,419.423,0.933,0.443,0.465,0.321,0.001,0.121,0.664,1.057,-4.372e-4,0,0,0,0,4.797e-4,0.003,0.077,0.005,89.986,-0.002,2.041,14.987,1013.02,340.381,0.018,0.122
0.171,2.729,31.096,173.291,31.096,173.292,-0.001,0,0.001,-180,0.035,0.512,28.61,-80.6,9.792,3.645,0,1.505,3.037e-4,2.264,0.714,0.386,0.002,1117.636,986.341,1.705,0.092,3.601e6,415.676,1.245,0.434,0.45,0.312,0.001,0.121,0.533,0.908,-1.5e-4,0,0,0,0,0.001,0.004,0.077,0.005,89.955,-0.003,2.04,14.982,1012.93,340.378,0.027,0.126
0.211,4.119,37.972,170.743,37.972,170.743,-0.003,-2.375e-8,0.003,-180,0.052,0.331,28.61,-80.6,9.792,2.903,5.043e-7,2.789,4.252e-4,2.261,0.712,0.385,0.002,1127.35,985.991,1.836,0.112,4.394e6,410.055,1.79,0.424,0.434,0.301,0.002,0.122,0.406,0.742,2.721e-4,0,0,0,0,0.003,0.005,0.077,0.005,89.87,-0.004,2.064,14.973,1012.767,340.373,0.04,0.13
0.261,6.227,46.341,167.263,46.341,167.263,-0.006,-1.124e-7,0.006,-179.999,0.058,0.183,28.61,-80.6,9.792,2.191,7.808e-7,4.709,0.001,2.259,0.709,0.385,0.002,1137.636,985.557,1.975,0.136,5.359e6,402.492,2.581,0.415,0.421,0.291,0.002,0.122,0.293,0.573,3.03e-4,0,0,0,0,0.006,0.006,0.077,0.005,89.683,-0.004,2.088,14.96,1012.52,340.364,0.05,0.134
0.311,8.748,54.514,163.357,54.514,163.361,-0.008,-3.803e-7,0.008,-179.997,0.028,1.096,28.61,-80.6,9.792,1.488,-4.098e-6,6.663,1.426e-4,2.256,0.707,0.384,0.002,1148.841,985.121,2.126,0.16,6.302e6,394.111,3.485,0.408,0.411,0.283,0.002,0.123,0.19,0.395,4.858e-4,0,0,0,0,0.008,0.007,0.077,0.005,89.399,-0.004,2.015,14.943,1012.224,340.354,0.05,0.141
0.361,11.673,62.49,159.382,62.49,159.399,-0.008,-9.455e-7,0.008,-179.993,0.054,2.278,28.61,-80.6,9.792,1.009,3.637e-6,8.553,0.002,2.253,0.704,0.384,0.002,1157.226,984.684,2.241,0.184,7.222e6,385.73,4.503,0.403,0.404,0.276,0.002,0.124,0.124,0.269,-2.223e-4,0,0,0,0,0.01,0.008,0.077,0.005,89.018,-0.002,2.118,14.924,1011.881,340.343,0.05,0.144
0.411,14.992,70.266,155.336,70.266,155.384,-0.002,-1.824e-6,0.002,-179.935,0.204,3.864,28.61,-80.6,9.792,0.389,-2.832e-6,9.882,-0.002,2.251,0.701,0.383,0.002,1168.916,984.246,2.398,0.207,8.118e6,377.349,5.619,0.399,0.399,0.271,0.003,0.126,0.046,0.1,-2.791e-4,0,0,0,0,0.011,0.009,0.077,0.005,88.554,-0.001,2.043,14.903,1011.492,340.33,0.05,0.148
0.461,18.695,77.837,151.213,77.838,151.318,0.014,-2.894e-6,0.014,-0.012,0.44,5.62,28.61,-80.6,9.792,0.199,-3.29e-7,-9.905,-6.802e-4,2.248,0.698,0.383,0.002,1172.943,983.807,2.456,0.229,8.989e6,368.968,6.836,0.396,0.396,0.266,0.003,0.127,0.023,0.065,3.5e-4,0,0,0,0,-0.009,0.01,0.077,0.005,88.054,0.002,1.924,14.878,1011.057,340.315,0.05,0.152
0.511,22.771,85.2,147.028,85.203,147.202,0.044,-3.225e-6,0.044,-0.004,0.758,7.172,28.61,-80.6,9.792,0.531,1.503e-6,-8.722,-0.001,2.245,0.696,0.382,0.002,1166.805,983.367,2.382,0.251,9.838e6,360.588,8.146,0.394,0.394,0.262,0.003,0.128,0.063,0.156,-4.014e-6,0,0,0,0,-0.006,0.011,0.077,0.005,87.585,0.005,2.039,14.852,1010.579,340.299,0.05,0.155
0.561,27.21,92.352,142.791,92.359,143.044,0.091,-1.62e-6,0.091,-0.001,1.149,8.491,28.61,-80.6,9.792,0.825,1.789e-5,-6.094,-0.004,2.242,0.693,0.382,0.002,1161.675,982.926,2.321,0.272,1.066e7,352.207,9.536,0.392,0.393,0.258,0.004,0.13,0.101,0.236,3.968e-4,0,0,0,0,-0.002,0.012,0.077,0.005,87.211,0.006,2.007,14.823,1010.059,340.282,0.05,0.158
0.611,32.001,99.292,138.545,99.305,138.845,0.159,2.908e-6,0.159,0.001,1.59,9.136,28.61,-80.6,9.792,0.908,-8.402e-6,-2.23,0.003,2.24,0.69,0.381,0.002,1160.501,982.484,2.312,0.292,1.146e7,343.826,10.987,0.39,0.391,0.255,0.004,0.131,0.112,0.258,-2.253e-4,0,0,0,0,-2.69e-4,0.013,0.077,0.005,87.002,0.006,2.022,14.792,1009.497,340.263,0.05,0.161
0.659,36.858,105.674,134.444,105.693,134.733,0.245,1.019e-5,0.245,0.002,2.015,8.822,28.61,-80.6,9.792,0.733,7.956e-6,1.661,0.005,2.237,0.688,0.381,0.002,1164.019,982.064,2.363,0.311,1.219e7,335.663,12.405,0.39,0.39,0.252,0.005,0.133,0.089,0.21,-2.09e-4,0,0,0,0,1.317e-4,0.014,0.077,0.005,86.993,0.008,2.18,14.76,1008.927,340.244,0.047,0.165
0.709,42.305,112.203,130.33,112.23,130.56,0.356,2.174e-5,0.356,0.003,2.426,7.737,28.61,-80.6,9.792,0.426,-2.731e-5,4.854,-0.002,2.234,0.685,0.381,0.002,1170.171,981.62,2.449,0.33,1.294e7,327.5,13.945,0.389,0.389,0.25,0.005,0.134,0.051,0.123,-4.624e-4,0,0,0,0,9.98e-4,0.014,0.077,0.005,87.166,0.009,2.3,14.725,1008.288,340.222,0.05,0.168
