# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (kg),Motor mass (kg),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (mm),CG location (mm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (m),Reference area (m²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
50.578,174.944,-28.784,59.696,28.784,59.697,3.033,0.019,3.033,0.367,1.998,0.398,28.61,-80.6,9.792,NaN,NaN,NaN,NaN,2.505,0.7,NaN,NaN,NaN,NaN,NaN,0.085,3.648e6,0,174.035,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.004,NaN,NaN,NaN,NaN,2.164,13.862,992.72,339.699,0.003,0.93
50.582,174.843,-28.578,58.719,28.578,58.721,3.026,0.019,3.026,0.368,1.999,0.408,28.61,-80.6,9.792,NaN,NaN,NaN,NaN,2.505,0.7,NaN,NaN,NaN,NaN,NaN,0.085,3.622e6,0,171.588,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.004,NaN,NaN,NaN,NaN,2.171,13.863,992.732,339.7,0.004,0.93
50.585,174.741,-28.37,57.743,28.371,57.744,3.019,0.019,3.019,0.369,2.001,0.418,28.61,-80.6,9.792,NaN,NaN,NaN,NaN,2.505,0.7,NaN,NaN,NaN,NaN,NaN,0.084,3.596e6,0,169.142,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.004,NaN,NaN,NaN,NaN,2.177,13.864,992.744,339.7,0.004,0.931
50.589,174.637,-28.161,56.766,28.162,56.768,3.012,0.019,3.012,0.37,2.002,0.427,28.61,-80.6,9.792,NaN,NaN,NaN,NaN,2.505,0.7,NaN,NaN,NaN,NaN,NaN,0.084,3.569e6,0,166.698,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.004,NaN,NaN,NaN,NaN,2.184,13.864,992.756,339.701,0.004,0.931
50.593,174.531,-27.951,55.79,27.951,55.792,3.004,0.019,3.004,0.371,2.004,0.437,28.61,-80.6,9.792,NaN,NaN,NaN,NaN,2.505,0.7,NaN,NaN,NaN,NaN,NaN,0.083,3.543e6,0,164.254,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.004,NaN,NaN,NaN,NaN,2.191,13.865,992.768,339.701,0.004,0.932
50.597,174.424,-27.739,54.815,27.74,54.817,2.997,0.019,2.997,0.372,2.006,0.447,28.61,-80.6,9.792,NaN,NaN,NaN,NaN,2.505,0.7,NaN,NaN,NaN,NaN,NaN,0.082,3.516e6,0,161.811,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.004,NaN,NaN,NaN,NaN,2.199,13.866,992.78,339.701,0.004,0.932
50.601,174.314,-27.525,53.84,27.526,53.842,2.989,0.019,2.989,0.373,2.007,0.456,28.61,-80.6,9.792,NaN,NaN,NaN,NaN,2.505,0.7,NaN,NaN,NaN,NaN,NaN,0.082,3.489e6,0,159.369,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.004,NaN,NaN,NaN,NaN,2.206,13.866,992.793,339.702,0.004,0.932
50.605,174.203,-27.31,52.865,27.311,52.867,2.98,0.019,2.98,0.374,2.009,0.464,28.61,-80.6,9.792,NaN,NaN,NaN,NaN,2.505,0.7,NaN,NaN,NaN,NaN,NaN,0.081,3.462e6,0,156.928,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.004,NaN,NaN,NaN,NaN,2.213,13.867,992.806,339.702,0.004,0.932
50.609,174.089,-27.094,51.891,27.095,51.893,2.972,0.019,2.972,0.375,2.011,0.458,28.61,-80.6,9.792,NaN,NaN,NaN,NaN,2.505,0.7,NaN,NaN,NaN,NaN,NaN,0.08,3.434e6,0,154.488,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.004,NaN,NaN,NaN,NaN,2.214,13.868,992.819,339.703,0.004,0.932
50.613,173.973,-26.876,50.917,26.876,50.919,2.963,0.019,2.963,0.376,2.013,0.452,28.61,-80.6,9.792,NaN,NaN,NaN,NaN,2.505,0.7,NaN,NaN,NaN,NaN,NaN,0.08,3.407e6,0,152.049,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.003,NaN,NaN,NaN,NaN,2.214,13.868,992.832,339.703,0.004,0.933
50.618,173.855,-26.656,49.944,26.656,49.946,2.955,0.019,2.955,0.377,2.015,0.446,28.61,-80.6,9.792,NaN,NaN,NaN,NaN,2.505,0.7,NaN,NaN,NaN,NaN,NaN,0.079,3.379e6,0,149.611,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.003,NaN,NaN,NaN,NaN,2.215,13.869,992.846,339.704,0.004,0.933
50.622,173.735,-26.434,48.971,26.435,48.973,2.945,0.019,2.945,0.378,2.017,0.44,28.61,-80.6,9.792,NaN,NaN,NaN,NaN,2.505,0.7,NaN,NaN,NaN,NaN,NaN,0.078,3.351e6,0,147.174,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.003,NaN,NaN,NaN,NaN,2.216,13.87,992.86,339.704,0.005,0.933
50.627,173.613,-26.211,47.998,26.211,48,2.936,0.019,2.936,0.379,2.019,0.434,28.61,-80.6,9.792,NaN,NaN,NaN,NaN,2.505,0.7,NaN,NaN,NaN,NaN,NaN,0.078,3.322e6,0,144.739,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.003,NaN,NaN,NaN,NaN,2.217,13.871,992.874,339.705,0.005,0.933
50.632,173.488,-25.985,47.026,25.986,47.028,2.926,0.019,2.926,0.38,2.021,0.428,28.61,-80.6,9.792,NaN,NaN,NaN,NaN,2.505,0.7,NaN,NaN,NaN,NaN,NaN,0.077,3.294e6,0,142.304,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.003,NaN,NaN,NaN,NaN,2.218,13.872,992.888,339.705,0.005,0.934
50.636,173.36,-25.758,46.055,25.759,46.057,2.916,0.019,2.916,0.382,2.023,0.422,28.61,-80.6,9.792,NaN,NaN,NaN,NaN,2.505,0.7,NaN,NaN,NaN,NaN,NaN,0.076,3.265e6,0,139.872,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.003,NaN,NaN,NaN,NaN,2.219,13.872,992.903,339.706,0.005,0.935
50.642,173.23,-25.53,45.084,25.53,45.086,2.906,0.019,2.906,0.383,2.025,0.416,28.61,-80.6,9.792,NaN,NaN,NaN,NaN,2.505,0.7,NaN,NaN,NaN,NaN,NaN,0.076,3.236e6,0,137.44,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.003,NaN,NaN,NaN,NaN,2.22,13.873,992.918,339.706,0.005,0.935
50.647,173.097,-25.299,44.114,25.299,44.116,2.895,0.019,2.896,0.384,2.027,0.41,28.61,-80.6,9.792,NaN,NaN,NaN,NaN,2.505,0.7,NaN,NaN,NaN,NaN,NaN,0.075,3.207e6,0,135.01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.003,NaN,NaN,NaN,NaN,2.221,13.874,992.933,339.707,0.005,0.936
50.652,172.961,-25.066,43.144,25.067,43.146,2.885,0.019,2.885,0.386,2.03,0.404,28.61,-80.6,9.792,NaN,NaN,NaN,NaN,2.505,0.7,NaN,NaN,NaN,NaN,NaN,0.074,3.177e6,0,132.581,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.003,NaN,NaN,NaN,NaN,2.222,13.875,992.949,339.707,0.005,0.936
50.658,172.822,-24.831,42.175,24.832,42.177,2.873,0.019,2.873,0.387,2.032,0.415,28.61,-80.6,9.792,NaN,NaN,NaN,NaN,2.505,0.7,NaN,NaN,NaN,NaN,NaN,0.074,3.148e6,0,130.155,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.003,NaN,NaN,NaN,NaN,2.231,13.876,992.965,339.708,0.006,0.936
50.663,172.68,-24.594,41.207,24.595,41.209,2.862,0.019,2.862,0.389,2.035,0.451,28.61,-80.6,9.792,NaN,NaN,NaN,NaN,2.505,0.7,NaN,NaN,NaN,NaN,NaN,0.073,3.118e6,0,127.731,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.003,NaN,NaN,NaN,NaN,2.253,13.877,992.981,339.708,0.006,0.937
50.669,172.535,-24.355,40.24,24.356,40.243,2.849,0.019,2.85,0.39,2.037,0.487,28.61,-80.6,9.792,NaN,NaN,NaN,NaN,2.505,0.7,NaN,NaN,NaN,NaN,NaN,0.072,3.087e6,0,125.31,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.003,NaN,NaN,NaN,NaN,2.276,13.878,992.997,339.709,0.006,0.937
50.676,172.386,-24.114,39.273,24.115,39.277,2.837,0.019,2.837,0.392,2.041,0.523,28.61,-80.6,9.792,NaN,NaN,NaN,NaN,2.505,0.7,NaN,NaN,NaN,NaN,NaN,0.072,3.057e6,0,122.89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.003,NaN,NaN,NaN,NaN,2.299,13.879,993.015,339.709,0.006,0.937
50.682,172.234,-23.871,38.308,23.872,38.312,2.824,0.019,2.824,0.394,2.044,0.56,28.61,-80.6,9.792,NaN,NaN,NaN,NaN,2.505,0.7,NaN,NaN,NaN,NaN,NaN,0.071,3.026e6,0,120.473,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.003,NaN,NaN,NaN,NaN,2.323,13.879,993.032,339.71,0.006,0.937
50.688,172.077,-23.625,37.343,23.627,37.348,2.81,0.019,2.811,0.396,2.048,0.596,28.61,-80.6,9.792,NaN,NaN,NaN,NaN,2.505,0.7,NaN,NaN,NaN,NaN,NaN,0.07,2.995e6,0,118.057,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.003,NaN,NaN,NaN,NaN,2.348,13.88,993.05,339.71,0.007,0.937
50.695,171.917,-23.377,36.379,23.379,36.384,2.796,0.019,2.797,0.397,2.052,0.633,28.61,-80.6,9.792,NaN,NaN,NaN,NaN,2.505,0.7,NaN,NaN,NaN,NaN,NaN,0.07,2.964e6,0,115.644,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.003,NaN,NaN,NaN,NaN,2.374,13.881,993.068,339.711,0.007,0.938
50.702,171.753,-23.126,35.415,23.129,35.422,2.782,0.019,2.782,0.399,2.057,0.67,28.61,-80.6,9.792,NaN,NaN,NaN,NaN,2.505,0.7,NaN,NaN,NaN,NaN,NaN,0.069,2.932e6,0,113.233,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.003,NaN,NaN,NaN,NaN,2.4,13.883,993.087,339.712,0.007,0.938
50.71,171.584,-22.873,34.453,22.876,34.459,2.767,0.019,2.767,0.402,2.062,0.687,28.61,-80.6,9.792,NaN,NaN,NaN,NaN,2.505,0.7,NaN,NaN,NaN,NaN,NaN,0.068,2.9e6,0,110.823,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.003,NaN,NaN,NaN,NaN,2.418,13.884,993.106,339.712,0.007,0.938
50.717,171.41,-22.618,33.49,22.62,33.496,2.751,0.019,2.751,0.404,2.067,0.663,28.61,-80.6,9.792,NaN,NaN,NaN,NaN,2.505,0.7,NaN,NaN,NaN,NaN,NaN,0.067,2.868e6,0,108.411,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.003,NaN,NaN,NaN,NaN,2.414,13.885,993.126,339.713,0.008,0.938
50.725,171.232,-22.359,32.529,22.362,32.535,2.735,0.019,2.735,0.406,2.072,0.639,28.61,-80.6,9.792,NaN,NaN,NaN,NaN,2.505,0.7,NaN,NaN,NaN,NaN,NaN,0.067,2.835e6,0,106.003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.003,NaN,NaN,NaN,NaN,2.411,13.886,993.146,339.714,0.008,0.939
50.734,171.048,-22.098,31.569,22.101,31.575,2.717,0.019,2.718,0.409,2.077,0.616,28.61,-80.6,9.792,NaN,NaN,NaN,NaN,2.505,0.7,NaN,NaN,NaN,NaN,NaN,0.066,2.802e6,0,103.598,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.003,NaN,NaN,NaN,NaN,2.407,13.887,993.167,339.714,0.008,0.939
50.742,170.859,-21.835,30.61,21.837,30.615,2.7,0.019,2.7,0.411,2.083,0.592,28.61,-80.6,9.792,NaN,NaN,NaN,NaN,2.505,0.7,NaN,NaN,NaN,NaN,NaN,0.065,2.768e6,0,101.196,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.003,NaN,NaN,NaN,NaN,2.403,13.888,993.189,339.715,0.009,0.939
50.751,170.664,-21.568,29.652,21.57,29.657,2.681,0.019,2.681,0.414,2.088,0.569,28.61,-80.6,9.792,NaN,NaN,NaN,NaN,2.505,0.7,NaN,NaN,NaN,NaN,NaN,0.064,2.735e6,0,98.796,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.003,NaN,NaN,NaN,NaN,2.399,13.889,993.211,339.716,0.009,0.939
50.761,170.462,-21.299,28.695,21.301,28.7,2.661,0.019,2.661,0.417,2.093,0.544,28.61,-80.6,9.792,NaN,NaN,NaN,NaN,2.505,0.7,NaN,NaN,NaN,NaN,NaN,0.063,2.701e6,0,96.399,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.003,NaN,NaN,NaN,NaN,2.394,13.891,993.234,339.717,0.009,0.94
50.77,170.254,-21.026,27.739,21.028,27.744,2.641,0.019,2.641,0.42,2.098,0.507,28.61,-80.6,9.792,NaN,NaN,NaN,NaN,2.505,0.7,NaN,NaN,NaN,NaN,NaN,0.063,2.666e6,0,94.005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.003,NaN,NaN,NaN,NaN,2.382,13.892,993.258,339.717,0.01,0.94
50.781,170.039,-20.75,26.786,20.752,26.79,2.619,0.019,2.619,0.424,2.103,0.47,28.61,-80.6,9.792,NaN,NaN,NaN,NaN,2.505,0.7,NaN,NaN,NaN,NaN,NaN,0.062,2.631e6,0,91.615,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.003,NaN,NaN,NaN,NaN,2.369,13.893,993.282,339.718,0.01,0.94
50.791,169.817,-20.472,25.833,20.473,25.837,2.596,0.019,2.596,0.427,2.107,0.433,28.61,-80.6,9.792,NaN,NaN,NaN,NaN,2.505,0.7,NaN,NaN,NaN,NaN,NaN,0.061,2.596e6,0,89.229,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.003,NaN,NaN,NaN,NaN,2.356,13.895,993.307,339.719,0.011,0.941
50.803,169.586,-20.189,24.882,20.191,24.886,2.572,0.019,2.572,0.431,2.112,0.396,28.61,-80.6,9.792,NaN,NaN,NaN,NaN,2.505,0.7,NaN,NaN,NaN,NaN,NaN,0.06,2.56e6,0,86.846,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.003,NaN,NaN,NaN,NaN,2.343,13.896,993.333,339.72,0.011,0.941
50.815,169.347,-19.903,23.933,19.904,23.936,2.547,0.019,2.547,0.436,2.116,0.359,28.61,-80.6,9.792,NaN,NaN,NaN,NaN,2.505,0.7,NaN,NaN,NaN,NaN,NaN,0.059,2.524e6,0,84.468,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.003,NaN,NaN,NaN,NaN,2.328,13.898,993.36,339.721,0.012,0.941
50.827,169.098,-19.614,22.985,19.615,22.988,2.52,0.019,2.52,0.44,2.12,0.321,28.61,-80.6,9.792,NaN,NaN,NaN,NaN,2.505,0.7,NaN,NaN,NaN,NaN,NaN,0.059,2.487e6,0,82.094,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.003,NaN,NaN,NaN,NaN,2.313,13.899,993.388,339.722,0.013,0.941
50.841,168.839,-19.321,22.04,19.322,22.041,2.492,0.019,2.492,0.445,2.124,0.283,28.61,-80.6,9.792,NaN,NaN,NaN,NaN,2.505,0.7,NaN,NaN,NaN,NaN,NaN,0.058,2.45e6,0,79.724,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.003,NaN,NaN,NaN,NaN,2.296,13.901,993.418,339.723,0.013,0.942
50.855,168.569,-19.024,21.096,19.024,21.097,2.462,0.019,2.462,0.45,2.127,0.245,28.61,-80.6,9.792,NaN,NaN,NaN,NaN,2.505,0.7,NaN,NaN,NaN,NaN,NaN,0.057,2.412e6,0,77.359,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,NaN,NaN,NaN,NaN,2.279,13.903,993.448,339.724,0.014,0.942
50.87,168.287,-18.722,20.154,18.723,20.155,2.43,0.019,2.431,0.456,2.131,0.223,28.61,-80.6,9.792,NaN,NaN,NaN,NaN,2.505,0.7,NaN,NaN,NaN,NaN,NaN,0.056,2.374e6,0,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,NaN,NaN,NaN,NaN,2.271,13.904,993.48,339.725,0.015,0.942
50.886,167.992,-18.417,19.214,18.418,19.215,2.397,0.019,2.397,0.462,2.134,0.236,28.61,-80.6,9.792,NaN,NaN,NaN,NaN,2.505,0.7,NaN,NaN,NaN,NaN,NaN,0.055,2.335e6,0,72.646,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,NaN,NaN,NaN,NaN,2.285,13.906,993.513,339.726,0.016,0.942
50.903,167.682,-18.107,18.276,18.108,18.278,2.36,0.019,2.36,0.469,2.139,0.249,28.61,-80.6,9.792,NaN,NaN,NaN,NaN,2.505,0.7,NaN,NaN,NaN,NaN,NaN,0.054,2.296e6,0,70.298,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,NaN,NaN,NaN,NaN,2.299,13.908,993.547,339.727,0.017,0.943
50.921,167.357,-17.793,17.34,17.794,17.342,2.322,0.019,2.322,0.477,2.143,0.247,28.61,-80.6,9.792,NaN,NaN,NaN,NaN,2.505,0.7,NaN,NaN,NaN,NaN,NaN,0.053,2.256e6,0,67.955,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,NaN,NaN,NaN,NaN,2.305,13.91,993.584,339.728,0.018,0.943
50.94,167.016,-17.476,16.407,17.476,16.408,2.28,0.019,2.28,0.486,2.146,0.155,28.61,-80.6,9.792,NaN,NaN,NaN,NaN,2.505,0.7,NaN,NaN,NaN,NaN,NaN,0.052,2.216e6,0,65.616,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,NaN,NaN,NaN,NaN,2.25,13.912,993.622,339.73,0.019,0.943
50.961,166.656,-17.154,15.482,17.154,15.483,2.235,0.019,2.236,0.495,2.147,0.062,28.61,-80.6,9.792,NaN,NaN,NaN,NaN,2.505,0.7,NaN,NaN,NaN,NaN,NaN,0.051,2.175e6,0,63.299,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,NaN,NaN,NaN,NaN,2.191,13.914,993.662,339.731,0.021,0.943
50.983,166.273,-16.826,14.561,16.826,14.561,2.187,0.019,2.187,0.506,2.149,0.056,28.61,-80.6,9.792,NaN,NaN,NaN,NaN,2.505,0.7,NaN,NaN,NaN,NaN,NaN,0.05,2.134e6,0,60.99,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,NaN,NaN,NaN,NaN,2.189,13.917,993.704,339.732,0.023,0.944
51.008,165.867,-16.493,13.638,16.494,13.639,2.135,0.019,2.135,0.518,2.152,0.136,28.61,-80.6,9.792,NaN,NaN,NaN,NaN,2.505,0.7,NaN,NaN,NaN,NaN,NaN,0.05,2.092e6,0,58.681,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,NaN,NaN,NaN,NaN,2.248,13.919,993.749,339.734,0.024,0.944
51.034,165.433,-16.155,12.723,16.155,12.725,2.077,0.019,2.077,0.532,2.157,0.175,28.61,-80.6,9.792,NaN,NaN,NaN,NaN,2.505,0.7,NaN,NaN,NaN,NaN,NaN,0.049,2.049e6,0,56.39,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,NaN,NaN,NaN,NaN,2.282,13.922,993.797,339.736,0.027,0.944
51.063,164.968,-15.812,11.809,15.812,11.81,2.015,0.019,2.015,0.549,2.16,0.118,28.61,-80.6,9.792,NaN,NaN,NaN,NaN,2.505,0.7,NaN,NaN,NaN,NaN,NaN,0.048,2.006e6,0,54.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,NaN,NaN,NaN,NaN,2.247,13.925,993.848,339.737,0.029,0.944
51.095,164.471,-15.465,10.902,15.465,10.902,1.946,0.019,1.946,0.568,2.16,0.006,28.61,-80.6,9.792,NaN,NaN,NaN,NaN,2.505,0.7,NaN,NaN,NaN,NaN,NaN,0.047,1.962e6,0,51.828,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,NaN,NaN,NaN,NaN,2.166,13.928,993.902,339.739,0.032,0.945
51.13,163.939,-15.117,10.007,15.118,10.009,1.871,0.019,1.871,0.591,2.154,0.176,28.61,-80.6,9.792,NaN,NaN,NaN,NaN,2.505,0.7,NaN,NaN,NaN,NaN,NaN,0.046,1.918e6,0,49.587,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,NaN,NaN,NaN,NaN,2.024,13.931,993.96,339.741,0.035,0.945
51.169,163.352,-14.759,9.126,14.759,9.127,1.786,0.019,1.786,0.618,2.151,0.088,28.61,-80.6,9.792,NaN,NaN,NaN,NaN,2.505,0.7,NaN,NaN,NaN,NaN,NaN,0.044,1.872e6,0,47.38,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,NaN,NaN,NaN,NaN,2.085,13.934,994.023,339.743,0.039,0.945
51.213,162.709,-14.395,8.24,14.395,8.24,1.691,0.019,1.692,0.653,2.151,0.005,28.61,-80.6,9.792,NaN,NaN,NaN,NaN,2.505,0.7,NaN,NaN,NaN,NaN,NaN,0.043,1.826e6,0,45.16,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,NaN,NaN,NaN,NaN,2.156,13.938,994.092,339.745,0.044,0.945
51.264,161.994,-14.024,7.364,14.024,7.364,1.583,0.019,1.583,0.697,2.15,0.012,28.61,-80.6,9.792,NaN,NaN,NaN,NaN,2.505,0.7,NaN,NaN,NaN,NaN,NaN,0.042,1.779e6,0,42.966,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,NaN,NaN,NaN,NaN,2.142,13.942,994.167,339.748,0.05,0.946
51.321,161.2,-13.652,6.493,13.652,6.494,1.46,0.019,1.46,0.755,2.144,0.116,28.61,-80.6,9.792,NaN,NaN,NaN,NaN,2.505,0.7,NaN,NaN,NaN,NaN,NaN,0.041,1.732e6,0,40.786,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,NaN,NaN,NaN,NaN,2.052,13.947,994.251,339.751,0.057,0.946
51.388,160.295,-13.273,5.64,13.273,5.641,1.316,0.019,1.316,0.837,2.139,0.073,28.61,-80.6,9.792,NaN,NaN,NaN,NaN,2.505,0.7,NaN,NaN,NaN,NaN,NaN,0.04,1.684e6,0,38.649,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,NaN,NaN,NaN,NaN,2.081,13.952,994.344,339.754,0.067,0.946
51.468,159.255,-12.891,4.796,12.891,4.796,1.146,0.019,1.146,0.961,2.137,0.023,28.61,-80.6,9.792,NaN,NaN,NaN,NaN,2.505,0.7,NaN,NaN,NaN,NaN,NaN,0.039,1.636e6,0,36.535,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,NaN,NaN,NaN,NaN,2.119,13.958,994.45,339.757,0.079,0.946
51.563,158.042,-12.512,3.972,12.513,3.975,0.943,0.019,0.943,1.167,2.123,0.142,28.61,-80.6,9.792,NaN,NaN,NaN,NaN,2.505,0.7,NaN,NaN,NaN,NaN,NaN,0.038,1.588e6,0,34.473,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,NaN,NaN,NaN,NaN,2.005,13.965,994.572,339.762,0.095,0.946
51.683,156.566,-12.132,3.176,12.132,3.178,0.689,0.019,0.689,1.594,2.108,0.13,28.61,-80.6,9.792,NaN,NaN,NaN,NaN,2.505,0.7,NaN,NaN,NaN,NaN,NaN,0.037,1.54e6,0,32.478,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,NaN,NaN,NaN,NaN,1.999,13.973,994.714,339.766,0.12,0.947
